Datetime#2019-02-14 02:00:53.926#$GTIMU,2040,324366.000,0.0555,0.1096,-0.0198,-0.0169,-0.0018,0.9998,52.9*40
Datetime#2019-02-14 02:00:55.126#$GTIMU,2040,324367.200,-0.0505,-0.1144,-0.0249,-0.0237,0.0040,1.0020,52.9*6D
Datetime#2019-02-14 02:00:56.326#$GTIMU,2040,324368.400,-0.0354,-0.0049,-0.0198,-0.0227,0.0048,1.0037,52.9*6B
Datetime#2019-02-14 02:00:57.526#$GTIMU,2040,324369.600,0.0303,-0.0348,-0.0348,-0.0127,0.0009,0.9972,52.9*4C
Datetime#2019-02-14 02:00:58.726#$GTIMU,2040,324370.800,0.0504,0.0847,0.0149,-0.0148,-0.0030,0.9994,52.9*6A
Datetime#2019-02-14 02:00:59.926#$GTIMU,2040,324372.000,0.0454,0.0051,-0.0100,-0.0161,-0.0023,0.9942,52.9*49
Datetime#2019-02-14 02:01:01.126#$GTIMU,2040,324373.200,-0.0102,0.0498,0.0050,-0.0157,-0.0004,1.0002,52.9*4C
Datetime#2019-02-14 02:01:02.326#$GTIMU,2040,324374.400,-0.0152,0.0946,-0.0297,-0.0195,0.0009,1.0032,52.9*4F
Datetime#2019-02-14 02:01:03.526#$GTIMU,2040,324375.600,0.0050,-0.2538,0.0048,-0.0157,-0.0026,0.9953,52.9*4D
Datetime#2019-02-14 02:01:04.726#$GTIMU,2040,324376.800,-0.0354,-0.0846,-0.0100,-0.0177,0.0001,1.0004,52.9*65
Datetime#2019-02-14 02:01:05.926#$GTIMU,2040,324378.000,-0.0657,-0.1294,-0.0199,-0.0109,0.0044,0.9996,52.9*63
Datetime#2019-02-14 02:01:07.126#$GTIMU,2040,324379.200,0.0353,0.0996,-0.0049,-0.0180,-0.0005,1.0040,52.9*46
Datetime#2019-02-14 02:01:08.326#$GTIMU,2040,324380.400,0.0505,-0.0895,-0.0150,-0.0179,-0.0041,1.0003,52.9*64
Datetime#2019-02-14 02:01:09.526#$GTIMU,2040,324381.600,-0.0354,-0.1095,-0.0050,-0.0162,-0.0035,0.9976,52.9*4A
Datetime#2019-02-14 02:01:10.726#$GTIMU,2040,324382.800,-0.0354,0.1942,0.0051,-0.0090,-0.0002,0.9963,52.9*49
Datetime#2019-02-14 02:01:11.926#$GTIMU,2040,324384.000,0.0555,-0.0696,-0.0150,-0.0114,-0.0002,0.9988,52.9*62
Datetime#2019-02-14 02:01:13.126#$GTIMU,2040,324385.200,0.0050,0.0299,-0.0050,-0.0193,0.0025,0.9995,52.9*6D
Datetime#2019-02-14 02:01:14.326#$GTIMU,2040,324386.400,-0.0757,-0.1244,-0.0348,-0.0205,0.0053,1.0055,52.9*63
Datetime#2019-02-14 02:01:15.526#$GTIMU,2040,324387.600,-0.0101,0.0548,-0.0496,-0.0179,0.0016,1.0002,52.9*4D
Datetime#2019-02-14 02:01:16.726#$GTIMU,2040,324388.800,0.0555,-0.0596,-0.0051,-0.0159,-0.0051,0.9972,52.9*6F
Datetime#2019-02-14 02:01:17.926#$GTIMU,2040,324390.000,0.0201,0.0797,-0.0049,-0.0236,-0.0015,0.9966,52.9*40
Datetime#2019-02-14 02:01:19.126#$GTIMU,2040,324391.200,-0.0152,-0.0597,-0.0149,-0.0156,0.0025,0.9973,52.9*6A
Datetime#2019-02-14 02:01:20.326#$GTIMU,2040,324392.400,0.0303,0.2241,-0.0197,-0.0128,-0.0021,0.9996,52.9*4F
Datetime#2019-02-14 02:01:21.526#$GTIMU,2040,324393.600,0.0252,-0.0597,-0.0050,-0.0176,-0.0016,0.9980,52.9*68
Datetime#2019-02-14 02:01:22.726#$GTIMU,2040,324394.800,-0.0758,0.0697,-0.0098,-0.0193,-0.0014,0.9991,52.9*60
Datetime#2019-02-14 02:01:23.926#$GTIMU,2040,324396.000,0.0303,-0.0646,-0.0447,-0.0209,-0.0002,1.0016,52.9*63
Datetime#2019-02-14 02:01:25.126#$GTIMU,2040,324397.200,-0.0455,-0.0846,-0.0149,-0.0215,0.0045,1.0015,52.9*6C
Datetime#2019-02-14 02:01:26.276#$GTIMU,2040,324398.400,0.0201,0.1096,-0.0049,-0.0167,0.0006,1.0000,52.9*62
Datetime#2019-02-14 02:01:27.326#$GTIMU,2040,324399.400,0.0151,-0.0497,-0.0249,-0.0143,-0.0002,0.9956,52.9*63
Datetime#2019-02-14 02:01:28.476#$GTIMU,2040,324400.600,-0.0253,-0.0149,-0.0248,-0.0143,0.0017,0.9929,52.9*6C
Datetime#2019-02-14 02:01:29.676#$GTIMU,2040,324401.800,-0.0354,-0.1891,-0.0249,-0.0208,0.0006,0.9976,52.9*6F
Datetime#2019-02-14 02:01:30.926#$GTIMU,2040,324403.000,-0.0001,0.1345,-0.0098,-0.0154,0.0001,1.0006,52.9*4C
Datetime#2019-02-14 02:01:32.076#$GTIMU,2040,324404.200,0.0202,0.0200,-0.0199,-0.0165,-0.0045,0.9987,52.9*43
Datetime#2019-02-14 02:01:33.276#$GTIMU,2040,324405.400,0.0202,-0.3036,-0.0201,-0.0234,-0.0021,1.0028,52.9*6E
Datetime#2019-02-14 02:01:34.476#$GTIMU,2040,324406.600,-0.0253,-0.0647,-0.0100,-0.0257,0.0034,0.9974,52.9*63
Datetime#2019-02-14 02:01:35.676#$GTIMU,2040,324407.800,-0.0152,0.1245,-0.0198,-0.0194,0.0007,0.9965,52.9*49
Datetime#2019-02-14 02:01:36.926#$GTIMU,2040,324409.000,0.0253,0.1096,-0.0347,-0.0149,-0.0008,1.0014,52.9*49
Datetime#2019-02-14 02:01:38.076#$GTIMU,2040,324410.200,0.0101,-0.0845,-0.0150,-0.0153,-0.0022,0.9958,52.9*63
