Datetime#2019-01-24 15:06:23.116#$GPFPD,2037,371439.000,61.040,0.053,0.366,20.5165714,113.8633058,40.13,0.017,-0.033,0.025,5.379,16,16,04*5D
Datetime#2019-01-24 15:06:24.116#$GPFPD,2037,371440.000,61.008,0.022,0.365,20.5165710,113.8633060,40.18,0.022,-0.021,0.034,5.374,16,16,04*56
Datetime#2019-01-24 15:06:25.116#$GPFPD,2037,371441.000,60.981,-0.009,0.349,20.5165709,113.8633062,40.22,0.005,0.011,0.034,5.377,16,16,04*5F
Datetime#2019-01-24 15:06:26.114#$GPFPD,2037,371442.000,60.962,-0.024,0.310,20.5165710,113.8633060,40.24,-0.040,0.042,0.020,5.378,16,16,04*7E
Datetime#2019-01-24 15:06:27.114#$GPFPD,2037,371443.000,60.949,-0.015,0.249,20.5165713,113.8633052,40.26,-0.087,0.059,0.004,5.377,16,16,04*71
Datetime#2019-01-24 15:06:28.114#$GPFPD,2037,371444.000,60.939,0.010,0.184,20.5165719,113.8633041,40.26,-0.105,0.061,-0.007,5.377,16,16,04*7D
Datetime#2019-01-24 15:06:29.114#$GPFPD,2037,371445.000,60.935,0.032,0.142,20.5165724,113.8633030,40.27,-0.089,0.048,-0.007,5.376,16,16,04*7C
Datetime#2019-01-24 15:06:30.114#$GPFPD,2037,371446.000,60.945,0.036,0.140,20.5165727,113.8633023,40.27,-0.051,0.030,-0.006,5.378,16,16,04*7A
Datetime#2019-01-24 15:06:31.114#$GPFPD,2037,371447.000,60.966,0.020,0.180,20.5165728,113.8633019,40.28,-0.018,0.016,-0.012,5.377,16,16,04*7B
Datetime#2019-01-24 15:06:32.610#$GPFPD,2037,371448.000,60.995,-0.002,0.244,20.5165728,113.8633019,40.26,-0.005,0.009,-0.034,5.378,16,16,04*59
Datetime#2019-01-24 15:06:33.610#$GPFPD,2037,371449.000,61.017,-0.011,0.311,20.5165727,113.8633018,40.23,-0.011,-0.004,-0.054,5.380,16,16,04*76
Datetime#2019-01-24 15:06:34.610#$GPFPD,2037,371450.000,61.020,0.003,0.356,20.5165724,113.8633017,40.20,-0.018,-0.027,-0.055,5.377,16,16,04*59
Datetime#2019-01-24 15:06:35.610#$GPFPD,2037,371451.000,61.002,0.034,0.362,20.5165720,113.8633014,40.17,-0.031,-0.035,-0.029,5.378,16,16,04*54
Datetime#2019-01-24 15:06:37.114#$GPFPD,2037,371453.000,60.972,0.071,0.281,20.5165717,113.8633004,40.22,-0.063,0.037,0.083,5.376,16,16,04*5C
Datetime#2019-01-24 15:06:38.114#$GPFPD,2037,371454.000,60.997,0.043,0.234,20.5165722,113.8632997,40.32,-0.074,0.093,0.115,5.377,16,16,04*5D
Datetime#2019-01-24 15:06:39.116#$GPFPD,2037,371455.000,61.057,-0.007,0.211,20.5165732,113.8632988,40.45,-0.091,0.131,0.095,5.379,16,16,04*78
Datetime#2019-01-24 15:06:40.114#$GPFPD,2037,371456.000,61.136,-0.048,0.216,20.5165744,113.8632980,40.53,-0.094,0.130,0.026,5.377,16,16,04*7D
Datetime#2019-01-24 15:06:41.610#$GPFPD,2037,371457.000,61.211,-0.057,0.233,20.5165754,113.8632970,40.51,-0.082,0.094,-0.063,5.379,16,16,04*55
Datetime#2019-01-24 15:06:42.610#$GPFPD,2037,371458.000,61.262,-0.028,0.245,20.5165758,113.8632964,40.43,-0.052,0.042,-0.127,5.379,16,16,04*5A
Datetime#2019-01-24 15:06:43.610#$GPFPD,2037,371459.000,61.283,0.024,0.241,20.5165758,113.8632960,40.30,-0.019,-0.000,-0.136,5.378,16,16,04*54
Datetime#2019-01-24 15:06:44.610#$GPFPD,2037,371460.000,61.280,0.071,0.226,20.5165757,113.8632959,40.20,-0.002,-0.018,-0.084,5.377,16,16,04*5C
Datetime#2019-01-24 15:06:46.113#$GPFPD,2037,371462.000,61.287,0.083,0.257,20.5165754,113.8632954,40.25,-0.056,0.014,0.083,5.376,16,16,04*52
Datetime#2019-01-24 15:06:47.113#$GPFPD,2037,371463.000,61.333,0.047,0.314,20.5165756,113.8632947,40.35,-0.084,0.063,0.130,5.379,16,16,04*5B
Datetime#2019-01-24 15:06:48.114#$GPFPD,2037,371464.000,61.411,-0.005,0.376,20.5165763,113.8632940,40.48,-0.079,0.120,0.130,5.379,16,16,04*7B
Datetime#2019-01-24 15:06:49.113#$GPFPD,2037,371465.000,61.509,-0.055,0.409,20.5165774,113.8632934,40.60,-0.059,0.146,0.073,5.377,16,16,04*7D
Datetime#2019-01-24 15:06:50.610#$GPFPD,2037,371466.000,61.595,-0.078,0.390,20.5165786,113.8632928,40.63,-0.054,0.123,-0.027,5.375,16,16,04*50
Datetime#2019-01-24 15:06:51.610#$GPFPD,2037,371467.000,61.644,-0.051,0.330,20.5165795,113.8632922,40.54,-0.063,0.068,-0.122,5.379,16,16,04*51
Datetime#2019-01-24 15:06:53.610#$GPFPD,2037,371469.000,61.650,0.094,0.201,20.5165796,113.8632907,40.30,-0.060,-0.009,-0.111,5.376,16,16,04*5D
Datetime#2019-01-24 15:06:55.114#$GPFPD,2037,371471.000,61.688,0.095,0.220,20.5165796,113.8632901,40.31,0.013,0.041,0.106,5.378,16,16,04*79
Datetime#2019-01-24 15:06:56.113#$GPFPD,2037,371472.000,61.738,0.008,0.281,20.5165802,113.8632903,40.45,0.007,0.081,0.153,5.377,16,16,04*7A
